Threads   Time     
        1   913.273
        1  1122.830
        1   915.429
        1   925.812
        1   923.174
        1   921.670
        1   928.407
        1   924.424
        1   913.368
        1   913.770
        2   960.059
        2  1140.947
        2  1138.211
        2  1120.680
        2  1143.168
        2  1139.695
        2  1059.715
        2   915.634
        2  1033.683
        2   960.057
       32  1503.731
       32  1564.271
       32  1488.547
       32  1447.326
       32  1541.817
       32  1535.912
       32  1557.323
       32  1377.939
        4   956.218
        4  1166.295
        4  1192.024
        4  1155.260
        4   956.841
        4   953.813
        4   908.036
        4  1015.019
        4  1070.960
        4   951.736
        8  1479.555
        8  1452.395
        8  1497.694
        8  1434.281
        8  1435.166
        8  1392.096
